author,birth_year,death_year,gender
"Anstey, F.",1856,1934,Male
"Ballantyne, R. M.",1825,1894,Male
"Barrie, J. M.",1860,1937,Male
"Burnett, F. H.",1849,1924,Female
"Carroll, L.",1832,1898,Male
"Crockett, S. R.",1859,1914,Male
"Ewing, J. H. G.",1841,1885,Female
"Falkner, J. M.",1858,1932,Male
"Farrar, F. W.",1831,1903,Male
"Farrow, G. E.",1862,1920,Male
"Grahame, K.",1859,1932,Male
"Haggard, H. R.",1856,1925,Male
"Henty, G. A.",1832,1902,Male
"Hughes, T.",1822,1896,Male
"Ingelow, J.",1820,1897,Female
"Jefferies, R.",1848,1887,Male
"Kingsley, C.",1819,1875,Male
"Kipling, R.",1865,1936,Male
"Lang, A.",1844,1912,Male
"MacDonald, G.",1824,1905,Male
"Mare, W. De la",1873,1956,Male
"Marryat, F.",1792,1848,Male
"Martineau, H.",1802,1876,Female
"Meade, L. T.",1844,1914,Female
"Molesworth, Mrs",1839,1921,Female
"Nesbit, E.",1858,1924,Female
"Potter, B.",1866,1943,Female
"Reed, T. B.",1852,1893,Male
"Ruskin, J.",1819,1900,Male
"Sewell, A.",1820,1878,Female
"Sinclair, C.",1800,1864,Female
"Stevenson, R. L.",1850,1894,Male
"Stretton, H.",1832,1911,Female
"Strickland, A.",1796,1874,Female
"Thackeray, W. M.",1811,1863,Male
"Tytler, A. F.",1747,1813,Male
"Wilde, O.",1854,1900,Male
"Yonge, C. M.",1823,1901,Female